epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.62,1.58583,2.52885,1.45586,0.97041,0.08747,0.31737,0.16258,1.49537,2.90785,1.41495,0.000647059,0.000647059,0.000647059
2,346.954,1.54888,1.98447,1.433,0.35959,0.21333,0.20606,0.09743,1.68934,2.7198,1.69981,0.0012487,0.0012487,0.0012487
3,521.555,1.60186,1.89252,1.46319,0.49194,0.34933,0.34902,0.16429,1.77847,2.37872,1.79738,0.00178433,0.00178433,0.00178433
4,694.125,1.57488,1.81618,1.45822,0.45363,0.45333,0.38932,0.18282,1.63649,2.42652,1.62146,0.001703,0.001703,0.001703
5,867.347,1.54746,1.62985,1.39717,0.61311,0.43733,0.49838,0.2511,1.69193,2.24414,1.68601,0.001604,0.001604,0.001604
6,1032.2,1.5073,1.54005,1.40236,0.60518,0.488,0.51683,0.27167,1.63494,1.7916,1.57246,0.001505,0.001505,0.001505
7,1198.22,1.46816,1.50104,1.3904,0.65527,0.544,0.59215,0.334,1.43985,1.62687,1.39615,0.001406,0.001406,0.001406
8,1376.81,1.44941,1.4529,1.37015,0.62752,0.58404,0.61721,0.34379,1.43085,1.59566,1.43658,0.001307,0.001307,0.001307
9,1550.19,1.41697,1.38138,1.34066,0.66895,0.59733,0.62756,0.34352,1.48764,1.50139,1.41263,0.001208,0.001208,0.001208
10,1722.19,1.39751,1.3556,1.32293,0.76142,0.55733,0.65016,0.38179,1.43906,1.51614,1.39988,0.001109,0.001109,0.001109
11,1892.34,1.36046,1.45513,1.31813,0.67881,0.51849,0.60991,0.33966,1.51101,1.5972,1.43692,0.00101,0.00101,0.00101
12,2058.48,1.26435,1.30703,1.26223,0.69805,0.57949,0.6567,0.37738,1.37724,1.41127,1.3277,0.000911,0.000911,0.000911
13,2225.34,1.27481,1.21963,1.27704,0.76879,0.584,0.68655,0.42305,1.32597,1.29618,1.31762,0.000812,0.000812,0.000812
14,2394.6,1.27143,1.18314,1.2637,0.79161,0.63819,0.72059,0.45526,1.27189,1.27531,1.27975,0.000713,0.000713,0.000713
15,2561.65,1.22086,1.11491,1.22917,0.7602,0.6425,0.72371,0.44988,1.3033,1.25526,1.29559,0.000614,0.000614,0.000614
16,2729.96,1.1952,1.07144,1.19782,0.71432,0.67467,0.7383,0.47535,1.2408,1.15222,1.24672,0.000515,0.000515,0.000515
17,2897.96,1.15835,1.02964,1.18221,0.75623,0.656,0.74561,0.47205,1.26347,1.16404,1.25582,0.000416,0.000416,0.000416
18,3069.8,1.11599,0.9716,1.16591,0.7977,0.65333,0.75368,0.48151,1.20978,1.15898,1.23628,0.000317,0.000317,0.000317
19,3242.24,1.12283,0.97894,1.17308,0.77394,0.65732,0.75382,0.48469,1.21833,1.13748,1.24134,0.000218,0.000218,0.000218
20,3411.6,1.09764,0.93866,1.15347,0.75079,0.68267,0.76921,0.49976,1.19494,1.09382,1.21939,0.000119,0.000119,0.000119
